0xa0000000: 13 04 00 00     mv	s0, zero
0xa0000004: 17 91 00 00     auipc	sp, 9
0xa0000008: 13 01 c1 ff     addi	sp, sp, -4
0xa000000c: ef 00 c0 0e     jal	0xec
0xa00000f8: 13 01 c1 ff     addi	sp, sp, -4
0xa00000fc: 17 15 00 00     auipc	a0, 1
0xa0000100: 13 05 05 e6     addi	a0, a0, -0x1a0
0xa0000104: 23 20 11 00     sw	ra, 0(sp)
0xa0000108: ef f0 5f f7     jal	-0x8c
0xa000007c: 13 01 c1 ff     addi	sp, sp, -4
0xa0000080: 17 05 00 00     auipc	a0, 0
0xa0000084: 13 05 05 f9     addi	a0, a0, -0x70
0xa0000088: 23 20 11 00     sw	ra, 0(sp)
0xa000008c: ef 00 80 12     jal	0x128
0xa00001b4: 93 07 05 00     mv	a5, a0
0xa00001b8: 17 07 00 00     auipc	a4, 0
0xa00001bc: 13 07 07 02     addi	a4, a4, 0x20
0xa00001c0: 73 10 57 30     csrw	mtvec, a4
0xa00001c4: 13 05 10 00     addi	a0, zero, 1
0xa00001c8: 17 17 00 00     auipc	a4, 1
0xa00001cc: 23 28 f7 e2     sw	a5, -0x1d0(a4)
0xa00001d0: 67 80 00 00     ret
0xa0000090: 13 06 00 01     addi	a2, zero, 0x10
0xa0000094: 63 0a 05 02     beqz	a0, 0x34
0xa0000098: ff ff ff ff     invalid instruction
0xa00001d8: 13 01 01 fb     addi	sp, sp, -0x50
0xa00001dc: 23 22 11 00     sw	ra, 4(sp)
0xa00001e0: 23 26 31 00     sw	gp, 0xc(sp)
0xa00001e4: 23 28 41 00     sw	tp, 0x10(sp)
0xa00001e8: 23 2a 51 00     sw	t0, 0x14(sp)
0xa00001ec: 23 2c 61 00     sw	t1, 0x18(sp)
0xa00001f0: 23 2e 71 00     sw	t2, 0x1c(sp)
0xa00001f4: 23 20 81 02     sw	s0, 0x20(sp)
0xa00001f8: 23 22 91 02     sw	s1, 0x24(sp)
0xa00001fc: 23 24 a1 02     sw	a0, 0x28(sp)
0xa0000200: 23 26 b1 02     sw	a1, 0x2c(sp)
0xa0000204: 23 28 c1 02     sw	a2, 0x30(sp)
0xa0000208: 23 2a d1 02     sw	a3, 0x34(sp)
0xa000020c: 23 2c e1 02     sw	a4, 0x38(sp)
0xa0000210: 23 2e f1 02     sw	a5, 0x3c(sp)
0xa0000214: f3 22 20 34     csrr	t0, mcause
0xa0000218: 73 23 00 30     csrr	t1, mstatus
0xa000021c: f3 23 10 34     csrr	t2, mepc
