0xa0000000: 13 04 00 00     mv	s0, zero
0xa0000004: 17 71 0a 00     auipc	sp, 0xa7
0xa0000008: 13 01 c1 ff     addi	sp, sp, -4
0xa000000c: ef 60 45 75     jal	0x56754
0xa0056760: 13 01 c1 ff     addi	sp, sp, -4
0xa0056764: 17 65 01 00     auipc	a0, 0x16
0xa0056768: 13 05 c5 bc     addi	a0, a0, -0x434
0xa005676c: 23 20 11 00     sw	ra, 0(sp)
0xa0056770: ef 90 da a3     jal	-0x565c4
0xa00001ac: 13 01 c1 ff     addi	sp, sp, -4
0xa00001b0: 23 20 11 00     sw	ra, 0(sp)
0xa00001b4: ef 60 05 67     jal	0x56670
0xa0056824: 13 01 c1 ff     addi	sp, sp, -4
0xa0056828: 23 20 11 00     sw	ra, 0(sp)
0xa005682c: 97 97 01 00     auipc	a5, 0x19
0xa0056830: 93 87 07 0f     addi	a5, a5, 0xf0
0xa0056834: 97 96 01 00     auipc	a3, 0x19
0xa0056838: 93 86 86 2e     addi	a3, a3, 0x2e8
0xa005683c: 17 06 00 00     auipc	a2, 0
0xa0056840: 13 06 06 f8     addi	a2, a2, -0x80
0xa0056844: 6f 00 c0 00     j	0xc
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056848: 93 87 47 00     addi	a5, a5, 4
0xa005684c: 63 8c d7 00     beq	a5, a3, 0x18
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
0xa0056854: e3 1a 07 fe     bnez	a4, -0xc
0xa0056858: 23 a0 c7 00     sw	a2, 0(a5)
0xa005685c: 93 87 47 00     addi	a5, a5, 4
0xa0056860: e3 98 d7 fe     bne	a5, a3, -0x10
0xa0056850: 03 a7 07 00     lw	a4, 0(a5)
